"member_casual","day_of_week","avg_ride_length"
"casual","Sunday",85.5673418812628
"casual","Monday",73.7959737977313
"casual","Tuesday",75.2366283954075
"casual","Wednesday",75.1511658370448
"casual","Thursday",117.213607594937
"casual","Friday",111.129327398615
"casual","Saturday",90.7039274924471
"member","Sunday",16.871706720439
"member","Monday",13.2491984058014
"member","Tuesday",13.8629312873029
"member","Wednesday",11.6908385016533
"member","Thursday",11.8600503197064
"member","Friday",12.6111979102084
"member","Saturday",15.4446055991177
